,feature,data,attention
0,MMSEORDA,2,2.1398
1,MMSEORLO,2,6.3346
2,PENTAGON,0,7.7633
3,NACCMMSE,16,-6.0846
4,NPSYCLOC,3,0.56
5,NPSYLAN,1,-2.0827
6,LOGIPREV,0,0.0
7,LOGIMEM,0,0.0
8,MEMUNITS,0,0.0
9,MEMTIME,0,0.0
10,UDSBENTC,0,0.0
11,UDSBENTD,0,0.0
12,UDSBENRS,0,0.0
13,DIGIF,0,0.0
14,DIGIFLEN,0,0.0
15,DIGIB,0,0.0
16,DIGIBLEN,0,0.0
17,ANIMALS,0,0.0
18,VEG,0,0.0
19,TRAILA,0,0.0
20,TRAILARR,0,0.0
21,TRAILALI,0,0.0
22,TRAILB,0,0.0
23,TRAILBRR,0,0.0
24,TRAILBLI,0,0.0
25,WAIS,0,0.0
26,BOSTON,0,0.0
27,UDSVERFC,0,0.0
28,UDSVERFN,0,0.0
29,UDSVERNF,0,0.0
30,UDSVERLC,0,0.0
31,UDSVERLR,0,0.0
32,UDSVERLN,0,0.0
33,UDSVERTN,0,0.0
34,UDSVERTE,0,0.0
35,UDSVERTI,0,0.0
36,MOCATOTS,0,0.0
37,NACCMOCA,0,0.0
38,MOCATRAI,0,0.0
39,MOCACUBE,0,0.0
40,MOCACLOC,0,0.0
41,MOCACLON,0,0.0
42,MOCACLOH,0,0.0
43,MOCANAMI,0,0.0
44,MOCAREGI,0,0.0
45,MOCADIGI,0,0.0
46,MOCALETT,0,0.0
47,MOCASER7,0,0.0
48,MOCAREPE,0,0.0
49,MOCAFLUE,0,0.0
50,MOCAABST,0,0.0
51,MOCARECN,0,0.0
52,MOCARECC,0,0.0
53,MOCARECR,0,0.0
54,MOCAORDT,0,0.0
55,MOCAORDT,0,0.0
56,MOCAORMO,0,0.0
57,MOCAORYR,0,0.0
58,MOCAORDY,0,0.0
59,MOCAORPL,0,0.0
60,MOCAORCT,0,0.0
61,CRAFTVRS,0,0.0
62,CRAFTURS,0,0.0
63,DIGFORCT,0,0.0
64,DIGFORSL,0,0.0
65,DIGBACCT,0,0.0
66,DIGBACLS,0,0.0
67,CRAFTDVR,0,0.0
68,CRAFTDRE,0,0.0
69,CRAFTDTI,0,0.0
70,CRAFTCUE,0,0.0
71,MINTTOTS,0,0.0
72,MINTTOTW,0,0.0
73,MINTSCNG,0,0.0
74,MINTSCNC,0,0.0
75,MINTPCNG,0,0.0
76,MINTPCNC,0,0.0
77,MOCBTOTS,0,0.0
78,NACCMOCB,0,0.0
79,REY1REC,0,0.0
80,REY1INT,0,0.0
81,REY2REC,0,0.0
82,REY2INT,0,0.0
83,REY3REC,0,0.0
84,REY3INT,0,0.0
85,REY4REC,0,0.0
86,REY4INT,0,0.0
87,REY5REC,0,0.0
88,REY5INT,0,0.0
89,REY6REC,0,0.0
90,REY6INT,0,0.0
91,OTRAILA,0,0.0
92,OTRLARR,0,0.0
93,OTRLALI,0,0.0
94,OTRAILB,0,0.0
95,OTRLBRR,0,0.0
96,OTRLBLI,0,0.0
97,REYDREC,0,0.0
98,REYDINT,0,0.0
99,REYTCOR,0,0.0
100,REYFPOS,0,0.0
101,VNTTOTW,0,0.0
102,VNTPCNC,0,0.0
